nom_barri,lat,lon
el Raval,41.3859611263672,2.16473952857229
el Barri Gòtic,41.3852793578426,2.17703981017875
la Barceloneta,41.3874852975771,2.1962542114702
"Sant Pere, Santa Caterina i la Ribera",41.390642940051,2.18347683856251
el Fort Pienc,41.3922993404645,2.18355273505655
la Sagrada Família,41.4000219211642,2.17339329254754
la Dreta de l'Eixample,41.4018480553436,2.17093442158349
l'Antiga Esquerra de l'Eixample,41.3933370221614,2.15738105759574
la Nova Esquerra de l'Eixample,41.377064343878,2.15180790274632
Sant Antoni,41.3751984648523,2.16781395807005
el Poble-sec,41.3728933987991,2.17626722490745
la Marina del Prat Vermell,41.3650101951999,2.18025541415345
la Marina de Port,41.3660019176343,2.13964691760884
la Font de la Guatlla,41.3695959236385,2.14890100182052
Hostafrancs,41.3788325920505,2.1448633398929
la Bordeta,41.3727440191202,2.14164573944753
Sants - Badal,41.3760638691201,2.13033260813625
Sants,41.37845688553,2.14206349799066
les Corts,41.3914659041267,2.1374940252501
la Maternitat i Sant Ramon,41.3794643631818,2.12916542635455
Pedralbes,41.401132502692,2.10344434732743
"Vallvidrera, el Tibidabo i les Planes",41.4268447598344,2.06711232318739
Sarrià,41.413550835246,2.11687449633559
les Tres Torres,41.3932105643801,2.13541728538693
Sant Gervasi - la Bonanova,41.4198148124141,2.1289773819813
Sant Gervasi - Galvany,41.401442425329,2.14724277333145
el Putxet i el Farró,41.4070195818779,2.14840218119166
Vallcarca i els Penitents,41.4195428243477,2.12939843687337
el Coll,41.4170336204016,2.1519092076981
la Salut,41.4106549246973,2.14813533416054
la Vila de Gràcia,41.4087640411928,2.15999944019715
el Camp d'en Grassot i Gràcia Nova,41.4018689757406,2.16869054024928
el Baix Guinardó,41.4079435796385,2.1699962189699
Can Baró,41.4200531081042,2.16619910360675
el Guinardó,41.421515136709,2.17978578087862
la Font d'en Fargues,41.4240195322446,2.17184345592441
el Carmel,41.4217203744644,2.15848323675839
la Teixonera,41.4243267865861,2.15143122113429
Sant Genís dels Agudells,41.431725129603,2.13467183654502
Montbau,41.442769916321,2.13630011619761
la Vall d'Hebron,41.4356829167795,2.15251969445977
la Clota,41.4316320402088,2.15385466772824
Horta,41.4497979020014,2.15951180778909
Vilapicina i la Torre Llobeta,41.4304671684536,2.16563548206559
Porta,41.439734511976,2.18545404331454
el Turó de la Peira,41.4348632516447,2.17236894236763
Can Peguera,41.436369027415,2.16557170360133
la Guineueta,41.4400614357841,2.17411947090507
Canyelles,41.4503629280891,2.16023652964832
les Roquetes,41.4528202762143,2.18317237767574
Verdun,41.4393310970524,2.17540458414165
la Prosperitat,41.4386135098402,2.17633772606741
la Trinitat Nova,41.455074598007,2.18874290296793
Torre Baró,41.4614731629388,2.18139356959711
Ciutat Meridiana,41.4640852999264,2.17961561114213
Vallbona,41.4683277332607,2.18408977425411
la Trinitat Vella,41.4621498081688,2.18766611656369
Baró de Viver,41.4425963766323,2.1966669232661
el Bon Pastor,41.4349313444714,2.19414292312753
Sant Andreu,41.447953980657,2.19696090599623
la Sagrera,41.428680774736,2.18480605608408
el Congrés i els Indians,41.4194917426193,2.18085867572447
Navas,41.418840625028,2.18902646435017
el Camp de l'Arpa del Clot,41.4069427924939,2.18455661967592
el Clot,41.4145761337762,2.19243956624443
el Parc i la Llacuna del Poblenou,41.4050394411482,2.1938163558629
la Vila Olímpica del Poblenou,41.3936528058868,2.19983215931651
el Poblenou,41.3964565463896,2.20923793829871
Diagonal Mar i el Front Marítim del Poblenou,41.4109655883131,2.21305050684114
el Besòs i el Maresme,41.4217017644346,2.21130382869618
Provençals del Poblenou,41.4056305449051,2.19554880988141
Sant Martí de Provençals,41.4111208750969,2.19717547409715
la Verneda i la Pau,41.4271419991399,2.20738904098433
